date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:18:15	330/330	U-----	200	untouched ('OK')	text/plain	date:Sat,%2026%20Aug%202023%2018:12:16%20GMT	https://www.democracygps.org/robots.txt		(from )
11:18:16	254122/254122	U-----	200	untouched ('OK')	text/html	etag:W/%2239d910e9ae0f83f4a7ff0e0a82e17471--gzip%22	https://www.democracygps.org/	democracygps-mirror/www.democracygps.org/index.html	(from )
11:18:18	249034/249034	U--MCZ	200	updated ('OK')	text/html	date:Sat,%2026%20Aug%202023%2018:18:16%20GMT	https://www.democracygps.org/cart	democracygps-mirror/www.democracygps.org/cart.html	(from https://www.democracygps.org/)
11:18:46	256033/256033	U-----	200	untouched ('OK')	text/html	etag:W/%22bde8e2ff25076b223d31f9f7a4de776d--gzip%22	https://www.democracygps.org/team	democracygps-mirror/www.democracygps.org/team.html	(from https://www.democracygps.org/)
11:18:46	281418/281418	U-----	200	untouched ('OK')	text/html	etag:W/%22fdf5c1da9c51bb7d05d6f1dbc3c82046%22	https://www.democracygps.org/blog	democracygps-mirror/www.democracygps.org/blog.html	(from https://www.democracygps.org/)
11:18:46	253583/253583	U-----	200	untouched ('OK')	text/html	etag:W/%2253ea922d410d7e9365465ba94c0cad4b--gzip%22	https://www.democracygps.org/press	democracygps-mirror/www.democracygps.org/press.html	(from https://www.democracygps.org/)
11:18:49	278316/278316	U-----	200	untouched ('OK')	text/html	etag:W/%22d3a9d3f005fa69957f0d48a85010a35e--gzip%22	https://www.democracygps.org/contact	democracygps-mirror/www.democracygps.org/contact.html	(from https://www.democracygps.org/)
11:19:17	252290/252290	U-----	200	untouched ('OK')	text/html	etag:W/%22eec0e7b80c9aa67c78f87eb4809a6801--gzip%22	https://www.democracygps.org/index	democracygps-mirror/www.democracygps.org/index-2.html	(from https://www.democracygps.org/)
11:19:50	688890/688890	U-----	200	untouched ('')	text/javascript	etag:W/%228f179275a316dc7ba97068cfc6158cea%22	https://guns.democracygps.org/index.94d27c3e.js	democracygps-mirror/guns.democracygps.org/index.94d27c3e.js	(from https://www.democracygps.org/)
11:19:50	30785/30785	U-----	200	untouched ('')	image/jpeg	etag:%22d9e65380eb3ac769384ba3f2d7a33b9e%22	https://guns.democracygps.org/crk_linked_in.jpeg	democracygps-mirror/guns.democracygps.org/crk_linked_in.jpg	(from https://www.democracygps.org/team)
11:19:51	19815/19815	U-----	200	untouched ('')	image/jpeg	etag:%2270fad971cd502e94b127df43fd604dc5%22	https://guns.democracygps.org/ma_bio_pic.jpeg	democracygps-mirror/guns.democracygps.org/ma_bio_pic.jpg	(from https://www.democracygps.org/team)
11:19:51	23478/23478	U-----	200	untouched ('')	image/jpeg	etag:%22e9a4db3449f7bfa89ad860aed4526b01%22	https://guns.democracygps.org/dw_linked_in.jpeg	democracygps-mirror/guns.democracygps.org/dw_linked_in.jpg	(from https://www.democracygps.org/team)
11:19:51	253551/253551	U-----	200	untouched ('OK')	text/html	etag:W/%22e789d6afa116b1c3cbd1a0a06b9b9224--gzip%22	https://www.democracygps.org/volunteering	democracygps-mirror/www.democracygps.org/volunteering.html	(from https://www.democracygps.org/contact)
11:19:51	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2026%20Aug%202023%2018:19:51%20GMT	https://www.democracygps.org/faq	democracygps-mirror/www.democracygps.org/faq.e.delayed	(from https://www.democracygps.org/index)
11:19:52	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Aug%202023%2018:19:52%20GMT	http://www.democracygps.org/faqs	democracygps-mirror/www.democracygps.org/faqs.f.delayed	(from https://www.democracygps.org/index)
11:20:22	263870/263870	U-----	200	untouched ('OK')	text/html	etag:W/%22b839c2126bb39c1f38e24939235ddbc6%22	https://www.democracygps.org/faqs	democracygps-mirror/www.democracygps.org/faqs.html	(from https://www.democracygps.org/index)
11:20:23	276895/276895	U-----	200	untouched ('OK')	text/html	etag:W/%22b3ec9d8553338902ffabd8758866e1a2--gzip%22	https://www.democracygps.org/suggestions	democracygps-mirror/www.democracygps.org/suggestions.html	(from https://www.democracygps.org/index)
11:20:23	252847/252847	U-----	200	untouched ('OK')	text/html	etag:W/%2233a008316967c77575c3979e30750410--gzip%22	https://www.democracygps.org/beta	democracygps-mirror/www.democracygps.org/beta.html	(from https://www.democracygps.org/index)
11:20:23	323428/323428	U-----	200	untouched ('OK')	text/html	etag:W/%22616960ff0554e410aebbf0861d7044e9--gzip%22	https://www.democracygps.org/privacy-policy	democracygps-mirror/www.democracygps.org/privacy-policy.html	(from https://www.democracygps.org/index)
11:20:23	283578/283578	U-----	200	untouched ('OK')	text/html	etag:W/%22c0cbbd2f42f554aff7c14ffeb47e102c--gzip%22	https://www.democracygps.org/terms-and-conditions	democracygps-mirror/www.democracygps.org/terms-and-conditions.html	(from https://www.democracygps.org/index)
11:20:24	688481/688481	U-----	200	untouched ('')	text/javascript	etag:W/%2298568c2c39a9c9ea964c7bc98c093c96%22	https://guns.democracygps.org/index.36b4be4f.js	democracygps-mirror/guns.democracygps.org/index.36b4be4f.js	(from https://www.democracygps.org/beta)
